Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
ARCHAM 496,Practicum in Museum Studies,ARCHAM,Honors,Classical Archaeology,Technical Skills,Research,Museum Studies,,,,
ARCHAM 497,Practicum in Field Archaeology,ARCHAM,Honors,Classical Archaeology,Technical Skills,Research,Field Archaeology,,,,
ARCHAM 499,Supervised Reading,ARCHAM,Reading,Independent Study,Archaeology,Mediterranean History,Art & Culture,,,,
ARMENIAN 102,Western Armenian II,ARMENIAN,Armenian Language,Armenian Culture,Reading,Composition,Conversation,,,,
ARMENIAN 202,Intermediate Western Armenian II,ARMENIAN,Armenian Language,Armenian Culture,Reading,Composition,Conversation,,,,
ARMENIAN 400,Seeds of Peace: Cross-Cultural Talk in the Middle East,ARMENIAN,Language,Multiculturalism,Middle Eastern Studies,Communication,Conflict Resolution,,,,
ARMENIAN 499,Independent Study in Armenian,ARMENIAN,Armenian Language,Indepedent Study,Student Growth,Research,Communication,,,,
ARTDES 407 / RCARTS 407,Ceramics and Ritual: The Object as Protagonist,ARTDES,Ritual Practices,Ceramic Objects,Creative Expression,Ceramic methods,Themes & Materials,,,,
ASIAN 205 / HISTORY 205,Modern East Asia,ASIAN,Interdisciplinary,Modernization,China & Japan,Asian Culture,Cultural Transformation,,,,
ASIAN 225 / RELIGION 225,Introduction to Hinduism,ASIAN,Hindu Origins,Beliefs & Practices,Religious Literature,Social Structures,Hinduism & Modernity,,,,
ASIAN 235,Introduction to Asian Studies,ASIAN,Interdisciplinary,Cross-Cultural Analysis,Historical Connections,Asian Culture,Critical Thinking,,,,
ASIAN 241 / HISTORY 251,The Chinese Renaissance: Cultural Transformations in Eleventh-Century China,ASIAN,Song Dynasty,Chinese Philosophy,Economic & Technological Innovation,Cultural Renaissance,Readings,,,,
ASIAN 243 / HISTART 243,Introduction to South Asian Art: Art of India,ASIAN,South Asian Art History,Cultural Heritage,Buddhist & Hindu Art,Art & Film,Museum Field Trips,,,,
ASIAN 257,Great Cities in Asia,ASIAN,Asian Cities,Asian History,Historical Links,Social Inequality,Pollution,,,,
ASIAN 263 / PHIL 263,Introduction to Chinese Philosophy,ASIAN,Philosophy,Chinese History,Religious Thought,Political Thought,Early China,,,,
ASIAN 273 / RCIDIV 273,North Korea: Real and Imagined,ASIAN,North Korean History,International Relations,Society,Asian Studies,Asian History,,,,
ASIAN 280,Topics in Asian Studies,ASIAN,Asian Culture,Traditions,Philosophy,Beliefs,Topics,,,,
ASIAN 297,Mini Course in Asian Studies,ASIAN,Asian Studies,History & Culture,Linguistics,Art & Literature,Religion,,,,
ASIAN 302,Rewriting Identities in Modern Japan,ASIAN,Japanese Literature,Self and Identity,Modernization,Japanese Philosophy,Globalization,,,,
ASIAN 311,The Image of the Samurai,ASIAN,Japanese Culture,Drama,Art & Literature,Film,History,,,,
ASIAN 315,"The Lives of the Buddha, from India to Manga",ASIAN,Buddhism,Buddhist History,Art & Literature,Religion,Asian Studies,,,,
ASIAN 325 / RELIGION 323,"Zen: History, Culture, and Critique",ASIAN,Religion,Zen Buddhism,Philosophy,Asian Studies,History,,,,
ASIAN 376,Controversies in Contemporary Korea,ASIAN,Korean History,Globalization,Economic Growth,Education,North & South Korean Relations,,,,
ASIAN 377,K-Pop and Beyond: Popular Culture and Korean Society,ASIAN,Pop Culture,Political Economy,South Korean Culture,Globalization,Social Experiences,,,,
ASIAN 380,Topics in Asian Studies,ASIAN,Asian Studies,Asian Culture,Topics,Liberal Arts,Variety,,,,
ASIAN 381,Junior/Senior Research Seminar for Majors,ASIAN,Research,Asian Studies,Readings,Analysis,Junior/Senior,,,,
ASIAN 390,Spirituality and Consciousness,ASIAN,Philosophy,Psychology,Neuroscience,Asian Traditions,Asian History,,,,
ASIAN 394 / HISTART 392,Anime to Zen: Japanese Art through Contemporary Popular Culture,ASIAN,Japanese Media,Nature & Place,Identity,Gender & Sex,Consumption,,,,
ASIAN 422,Topics in Southeast Asian Studies,ASIAN,Southeast Asia,Asian Culture,Asian Society,Topics,Variety,,,,
ASIAN 450 / HISTORY 450,Japan to 1700: Origin Myth to Shogun Dynasty,ASIAN,Japanese History,Imperial Family,Gender Relations,Economic & Legal Developments,Japanese Culture,,,,
ASIAN 470,Saga of the Three Kingdoms: From History to Videogames,ASIAN,Multimedia,History & Theater,Film & ideo Games,Literature,Asian Culture,,,,
ASIAN 480,Topics in Asian Studies,ASIAN,Asian Issues,Geography,Asian Studies,Topics,Variety,,,,
ASIAN 490 / PUBPOL 428 / SOC 428,Contemporary China,ASIAN,Chinese History,Chinese Culture,Chinese Government,Chinese Economy,Family Structure,,,,
ASIAN 495,Honors Thesis,ASIAN,Honors,Asian Studies,Thesis,Research,Readings,,,,
ASIAN 499,Independent Study-Directed Readings,ASIAN,Independent Study,Readings,Research,Asian Culture,Asian History,,,,
ASIANLAN 102,First Year Chinese II,ASIANLAN,Chinese Language,Listening,Speaking,Reading & Writing,Conversation,,,,
ASIANLAN 104,First Year Chinese for Heritage Speakers,ASIANLAN,Native Chinese Speaker,Reading,Writing,Chinese Language,Conversation,,,,
ASIANLAN 105,Mandarin Pronunciation,ASIANLAN,Mandarin,"Consonants, Vowels, & Tones",Oral Communication,Speaking,Chinese Language,,,,
ASIANLAN 112,First Year Filipino II,ASIANLAN,Tagalog,Oral Communication,Filipino Language,Cultural Fluency,Language Immersion,,,,
ASIANLAN 116,First Year Hindi II,ASIANLAN,Hindi,Devanagari Script,Language Skills,Cultural Contexts,Language Immersion,,,,
ASIANLAN 122,First Year Indonesian II,ASIANLAN,Indonesian Language,Listening & Speaking,Reading & Writing,Global Language,Indonesian Culture,,,,
ASIANLAN 124,First-Year Japanese through Anime and Manga II,ASIANLAN,Anime & Manga based learning,Listening & Speaking,Reading & Writing,Pop Culture Approach,Cultural Immersion,,,,
ASIANLAN 126,First Year Japanese II,ASIANLAN,Japanese Language,Listening & Speaking,Reading & Writing,Japanese Culture,Language Immersion,,,,
ASIANLAN 128,Japanese Kanji and Calligraphy: Learning Strategies and Orthography,ASIANLAN,Chinese characters,Kanji Learning Strategies,Japanese caligraphy,Japanese Culture,Orthography,,,,
ASIANLAN 136,First Year Korean II,ASIANLAN,Korean Language,Listening & Speaking,Reading & Writing,Language Immersion,Interactive Learning,,,,
ASIANLAN 146,First Year Punjabi II,ASIANLAN,Punjabi Language,Listening & Speaking,Reading & Writing,Language Immersion,Gurmukhi Script,,,,
ASIANLAN 156,First Year Tamil II,ASIANLAN,Tamil Language,Listening & Speaking,Reading & Writing,Cultural Context,Global Language,,,,
ASIANLAN 162,First Year Thai II,ASIANLAN,Thai Langauge,Listening & Speaking,Reading & Writing,Cultural Context,Global Language,,,,
ASIANLAN 172,First Year Urdu II,ASIANLAN,Urdu Langauge,Listening & Speaking,Reading & Writing,Nastaliq Writing System,Pakistani Culture,,,,
ASIANLAN 176,First Year Vietnamese II,ASIANLAN,Vietnamese Langauge,Listening & Speaking,Reading & Writing,Cultural Context,Vietnamese Culture,,,,
ASIANLAN 186,First Year Bengali II,ASIANLAN,Bengali Language,Listening & Speaking,Reading & Writing,Cultural Context,South Asia,,,,
ASIANLAN 202,Second Year Chinese II,ASIANLAN,Intermediate Chinese,Reading Proficiency,Aural & Speaking Skills,Chinese Vocabulary,Language Lab,,,,
ASIANLAN 204,Second Year Chinese for Heritage Speakers,ASIANLAN,Heritage Speakers,Reading & Writing,Chinese Literacy,Language Skills,Cultural Context,,,,
ASIANLAN 212,Second Year Filipino I,ASIANLAN,Intermediate Filipino,Literary Focus,Fluency Development,Language Skills,Continuing Education,,,,
ASIANLAN 216,Second Year Hindi II,ASIANLAN,Intermediate Hindi,Devanagari Script,Language Proficiency,Cultural Integration,Fluency Advancement,,,,
ASIANLAN 222,Second Year Indonesian II,ASIANLAN,Intermediate Indonesian,Language Skills,Fluency Development,Cultural Context,Reading & Writing,,,,
ASIANLAN 226,Second Year Japanese II,ASIANLAN,Intermediate Japanese,Kanji Mastery,Language Skills,Cultural Context,Proficiency Advancement,,,,
ASIANLAN 229,Intensive Japanese II,ASIANLAN,Advanced Japanese,Kanji Expansion,Language Skills,Intensive Learning,Grammatical Mastery,,,,
ASIANLAN 236,Second Year Korean II,ASIANLAN,Intermediate Korean,Aural-Oral Focus,Grammatical Structure,Cultural Context,Language Skills,,,,
ASIANLAN 238,Accelerated Korean II,ASIANLAN,Accelerated Langauge Learning,Intermediate Korean,Intensive Curriculum,Listening & Speaking,Third-year Readiness,,,,
ASIANLAN 239,K-Pop Korean,ASIANLAN,Korean Language,Korean Music,Korean Culture,Global Language,Social Experiences,,,,
ASIANLAN 241,Cross-Cultural Connect: Virtual Language Exchange with Korea,ASIANLAN,Language Exchange,Korean Culture,Online Interactions,Language skills,Cultural Immersion,,,,
ASIANLAN 246,Second Year Punjabi II,ASIANLAN,Intermediate Punjabi,Vocabulary Expansion,Conversation,Language skills,Cultural Context,,,,
ASIANLAN 252,Second Year Sanskrit II,ASIANLAN,Intermediate Sanskrit,Listening & Speaking,Reading & Writing,Language Skils,Cultural Context,,,,
ASIANLAN 256,Second Year Tamil II,ASIANLAN,Intermediate Tamil,Listening & Speaking,Reading & Writing,Language Skils,Cultural Context,,,,
ASIANLAN 262,Second Year Thai II,ASIANLAN,Intermediate Thai,Listening & Speaking,Reading & Writing,Language Skils,Cultural Context,,,,
ASIANLAN 272,Second Year Urdu II,ASIANLAN,Intermediate Urdu,Listening & Speaking,Reading & Writing,Language Skils,Cultural Context,,,,
ASIANLAN 276,Second Year Vietnamese II,ASIANLAN,Intermediate Vietnamese,Listening & Speaking,Reading & Writing,Language Skils,Cultural Context,,,,
ASIANLAN 286,Second Year Bengali II,ASIANLAN,Intermediate Bengali,Listening & Speaking,Reading & Writing,Language Skils,Cultural Context,,,,
ASIANLAN 302,Third Year Chinese II,ASIANLAN,Chinese Language,Reading & Writing,Chinese Fiction,Chinese Essays,Chinese Poetry,,,,
ASIANLAN 304,Third Year Chinese for Heritage Speakers,ASIANLAN,Heritage Speakers,Advanced Reading,Cultural Context,Chinese Fluency,Chinese Immersion,,,,
ASIANLAN 306,Intermediate Spoken Chinese II,ASIANLAN,Intermediate Chinese,Oral communication,Student Presentations,Theme-Based Learning,Advanced Conversation,,,,
ASIANLAN 312,"Exploring the Philippines: Places, People and Practices",ASIANLAN,Filipino Culture,Filipino People,Lifestyle & Practices,Multiculturalism,Cultural Immersion,,,,
ASIANLAN 326,Third Year Japanese II,ASIANLAN,Advanced Japanese,Spoken Japanese Practice,Textual Analysis,Expository Style Focus,Cultural Context,,,,
ASIANLAN 336,Third Year Korean II,ASIANLAN,Advanced Korean,Spoken Korean Practice,Reading & Writing,Language Skills,Cultural Context,,,,
ASIANLAN 362,Thai Soft Power II,ASIANLAN,Thai Langauge,Thai Culture,Thai History,Global Influence,Thai Soft Power,,,,
ASIANLAN 376,Career Readiness with Vietnamese,ASIANLAN,Studnt motivation,heritage speakers,Film & Media,Profesional Portfolio,Vietnamese Culture,,,,
ASIANLAN 408,Advanced Reading and Writing Chinese II,ASIANLAN,Advanced Chinese,Reading & Writing,Listening & Speaking,Textual Analysis,Cultural Context,,,,
ASIANLAN 409,Classical Chinese in Modern Context,ASIANLAN,Imperial China,Prose & Poetry,Chinese History,Written Chinese,Chinese Culture,,,,
ASIANLAN 410,Media Chinese: News and Current Affairs,ASIANLAN,Chinese Media,"TV, radio, & Newspapers",Listening & Speaking,Reading & Writing,Chinese Culture,,,,
ASIANLAN 412,Advanced Filipino II,ASIANLAN,Advanced Tagalog/Filipino,Spoken Filipino Practice,Reading & Writing,Listening & Speaking,Cultural Immersion,,,,
ASIANLAN 318,Advanced Hindi II,ASIANLAN,Advanced Hindi,Spoken Hinid Practice,Reading & Writing,Listening & Speaking,Cultural Context,,,,
ASIANLAN 420,Advanced Indonesian II,ASIANLAN,Advanced Indonesian,Build Vocabulary,Indonesian Culture,Socio-linguistic Studies,Grammatical Mastery,,,,
ASIANLAN 425,Media Japanese I,ASIANLAN,Japanese Language,Japanese Culture,Japanese Society,Japanese Media,Japanese History,,,,
ASIANLAN 430,Business Japanese II,ASIANLAN,Japanese Langauge,Business,Reading & Writing,Listening & Speaking,Social Issues,,,,
ASIANLAN 442,Practicum in Japanese Interpreting,ASIANLAN,Japanese Language,English Language,Oral Translation,Language Skills,Interpretation,,,,
ASIANLAN 443,Korean News and Current Affairs,ASIANLAN,Korean Language,Korean Culture,Contemporary Issues,Korean Society,Language proficiency,,,,
ASIANLAN 445,Chinese Language Pedagogy,ASIANLAN,Chinese Teaching methods,Language pedagogy,Teacher Training,Language Education,Career Preparation,,,,
ASIANLAN 446,Chinese for Professionals,ASIANLAN,Professional Chinese,Business Chinese,Cross-Cultural Competence,Language Skills,Workplace Communication,,,,
ASIANLAN 456,Advanced Tamil II,ASIANLAN,Advanced Tamil,Spoken Tamil Practice,Reading & Writing,Listening & Speaking,Novels & Poetry,,,,
ASIANLAN 472,Advanced Urdu II,ASIANLAN,Advanced Urdu,Spoken Urdu Practice,Reading & Writing,Listening & Speaking,Scriptwriting,,,,
ASIANLAN 476,Advanced Vietnamese II,ASIANLAN,Advanced Vietnamese,Spoken Vietnamese Practice,Reading & Writing,Listening & Speaking,Cultural Context,,,,
ASIANLAN 479,Teaching Korean in the Community,ASIANLAN,Korean Language,Experiential Learning,Koean Culture,Community Outreach,Hands-on learning,,,,
ASIANLAN 480,Topics in Asian Languages,ASIANLAN,Asian Languages,Topics,Variety,Language proficiency,Asian Culture,,,,
ASIANLAN 486,Advanced Bengali II,ASIANLAN,Advanced Bengali,Spoken Bengali Practice,Reading & Writing,Listening & Speaking,Cultural Context,,,,
ASIANLAN 499,Independent Language Study,ASIANLAN,Independent Study,Asian Language,Research,Student Growth,Reading,,,,
ASIANPAM 214 / AMCULT 214,Introduction to Asian/Pacific American Studies,ASIANPAM,Asian American and Pacific Islander History,Community Issues,Art & culture,American Society,Diversity,,,,
ASIANPAM 301,Topics in Asian/Pacific Islander American Studies,ASIANPAM,Interdisciplinary,Topics,Variety,Ethnic Life,Race & Ethnicity,,,,
ASIANPAM 352 / AMCULT 352,Asian/Pacific Islander American Cultural Performance,ASIANPAM,Culture night shows,Asian/Pacific Islander American,Community,Interpretation,Show Production,,,,
ASIANPAM 359 / AMCULT 359,South Asian Diaspora in America,ASIANPAM,Migration,South Asia & North America,Diaspora,Art & Culture,Historical Contexts,,,,
ASIANPAM 388,Field Study,ASIANPAM,Experiential Learning,Independent Study,American Studies,Internships,Asian/Pacific Islander American Studies,,,,
ASIANPAM 389,Reading Course in Asian/Pacific Islander American Studies,ASIANPAM,Independent Study,Reading List,Asian/Pacific Islander American Studies		,Exploration,American Culture,,,,
ASTRO 101,Introductory Astronomy: The Solar System and the Search for a new Earth,ASTRO,Solar System Exploration,Exoplanets,Astronomical Data Analysis,Planetary Science,Intro Astronomy,,,,
ASTRO 102,"Introductory Astronomy: Stars, Galaxies, and the Universe",ASTRO,Stellar & Galactic Astronomy,Cosmology,Light & Gravity,Observational Astronomy,Intro Astronomy,,,,
ASTRO 104,Alien Skies: A Tour Through the Universe,ASTRO,Astronomical Exploration,Cosmic Diversity,Visual & Conceptual Astronomy,Planetary & Stellar Perspectives,Intro Astronomy,,,,
ASTRO 105,The Cosmos Through the Constellations,ASTRO,Constellations,Star Patterns,Mythology,Celestial Cartography,Astronomical Phenomena,,,,
ASTRO 106,Aliens,ASTRO,Extraterrestrial life,Life in the Galaxy,Evolution,Interstellar travel & communication,Technical Challenges,,,,
ASTRO 107,The Dark Side of the Universe,ASTRO,Dark Energy,Dark Matter,Black Holes,Observational Astronomy,Visible Universe,,,,
ASTRO 115,Introductory Astrobiology: The Search for Life in the Universe,ASTRO,Origins of Life,Astrobiology Exploration,Exoplanet Discovery,Life in the Universe,Interdisciplinary Science,,,,
ASTRO 127,Naked Eye Astronomy,ASTRO,Observing the Night Sky,Celestial Motion,Basics of Astronomy,Earthy-Sky relationship,Visual Astronomy,,,,
ASTRO 142,From the Big Bang to the Milky Way,ASTRO,The Big Bang,Galaxy Formation,the Milky Way,Evolution of the Universe,Make-up of the universe,,,,
ASTRO 201,Introduction to Astrophysics,ASTRO,Astrophysical Phenomena,Lifespan of Stars,Dark Matter & the Universe,Galaxies and Beyond,Origin of the Universe,,,,
ASTRO 206,Black Holes: The Triumph of Gravity,ASTRO,Black hole event horizons,Galactic super-massive black holes,black hole feedback,star death,Evaporation and the Hawking Effect,,,,
ASTRO 220,New Discoveries in Astronomy,ASTRO,Professional visitors,Research,Discussions,Innovation,Scientific Context,,,,
ASTRO 261 / NAVSCI 301,Navigation,ASTRO,Marine Navigation,Piloting,Navigational Instruments,Celestial navigation,Electronic Navigation,,,,
ASTRO 361,Astronomical Techniques,ASTRO,Astronomical Instrumentation,Observational Data,Observational Analysis,Inteferometry & Spectroscopy,Python,,,,
ASTRO 389,Individual Studies in Astronomy,ASTRO,Independent Study,Astronomical Studies,Research,Hands-on Learning,student Growth,,,,
